"","Gemeinde","Nein in %"
"1","Kilchberg BL",61.6
"2","Rifferswil ZH",60.9
"3","Rongellen GR",60.9
"4","Trin GR",60.7
"5","Flerden GR",59.8
"6","Malans GR",59.5
"7","Celerina/Schlarigna GR",59.4
"8","Sils im Engadin/Segl GR",59.4
"9","Windisch AG",59.4
"10","Lenzburg AG",59.4
"11","Mauraz VD",59.4
"12","Rüttenen SO",58.6
"13","Medel (Lucmagn) GR",58.5
"14","Vaux-sur-Morges VD",58.4
"15","Domleschg GR",58.2
"16","Gottlieben TG",57.4
"17","Bursins VD",57.2
"18","Flims GR",57.1
"19","Scuol GR",56.7
"20","Zofingen AG",56.7
"21","Mauensee LU",56.4
"22","Lichtensteig SG",56.2
"23","Chavannes-le-Veyron VD",56
"24","Saas-Fee VS",56
"25","Bergün Filisur GR",55.6
"26","Bever GR",55.5
"27","Trélex VD",54.9
"28","Untereggen SG",54.7
"29","Brugg AG",54.7
"30","Clarmont VD",54.7
"31","Adligenswil LU",54.5
"32","Rorschach SG",54.5
"33","Lussy-sur-Morges VD",54.5
"34","Castaneda GR",54.4
"35","Reverolle VD",54.4
"36","Lauwil BL",54.3
"37","Tamins GR",54.3
"38","Lostallo GR",54.1
"39","Surses GR",53.7
"40","Grengiols VS",53.6
"41","Ferreyres VD",53.5
"42","Unterbäch VS",53.5
"43","Zermatt VS",53.4
"44","Hausen am Albis ZH",53.3
"45","Lully VD",53.3
"46","Bassins VD",53.1
"47","Zuoz GR",52.9
"48","Elfingen AG",52.9
"49","Andeer GR",52.8
"50","Rheinwald GR",52.7
