"","Comune","Percentuale di no"
"1","Lovatens VD",91.8
"2","Dizy VD",90
"3","Orzens VD",88.4
"4","La Praz VD",84.3
"5","Vugelles-La Mothe VD",84.2
"6","Valeyres-sous-Ursins VD",83.9
"7","Novalles VD",83.6
"8","Croy VD",83.5
"9","Mollens VD",83.1
"10","Démoret VD",82.8
"11","Ogens VD",82.1
"12","Bussy-sur-Moudon VD",81.3
"13","Chêne-Pâquier VD",80.6
"14","Bioley-Magnoux VD",80.4
"15","Clarmont VD",80.2
"16","Cronay VD",80.2
"17","Mathod VD",80.1
"18","Rovray VD",80
"19","Bretonnières VD",79.7
"20","Mauraz VD",79.4
"21","Ependes VD",79.4
"22","Treytorrens (Payerne) VD",79.2
"23","Oppens VD",78.8
"24","Moiry VD",78.4
"25","Ballens VD",78
"26","Villarzel VD",78
"27","Premier VD",77.9
"28","Bofflens VD",77.8
"29","Pompaples VD",77.7
"30","Ferreyres VD",77.5
"31","Champvent VD",77.1
"32","Trey VD",76.9
"33","Saubraz VD",76.6
"34","Montpreveyres VD",76.6
"35","Fontaines-sur-Grandson VD",76.3
"36","L'Abergement VD",76.2
"37","Arnex-sur-Orbe VD",75.5
"38","Chavannes-le-Veyron VD",75.3
"39","Rances VD",74.9
"40","Mont-la-Ville VD",74.6
"41","Bullet VD",74.5
"42","Oron VD",74.3
"43","Pomy VD",74.3
"44","La Chaux (Cossonay) VD",74.2
"45","Berolle VD",74.1
"46","Villars-sous-Yens VD",74.1
"47","Bournens VD",73.7
"48","Mauborget VD",73.7
"49","Montricher VD",73.5
"50","Saint-Oyens VD",73.1
