"","Gemeinde","Ja in %"
"1","Orges VD",77.4
"2","Liedertswil BL",76
"3","Bedretto TI",73.2
"4","Buseno GR",72
"5","Gottlieben TG",71.4
"6","Wollerau SZ",71.2
"7","Saas-Fee VS",70.7
"8","Aesch ZH",70.1
"9","Feldbrunnen-St. Niklaus SO",69.8
"10","Oberwil-Lieli AG",68.8
"11","Boppelsen ZH",67.1
"12","Pfeffingen BL",67.1
"13","Silvaplana GR",67
"14","Fiesch VS",67
"15","Eischoll VS",67
"16","Embd VS",66.9
"17","Balm bei Günsberg SO",66.4
"18","Laax GR",66.3
"19","Hüntwangen ZH",66.1
"20","Ferrera GR",65.5
"21","Bürchen VS",65.5
"22","Villnachern AG",65
"23","Binn VS",64.9
"24","Disentis/Mustér GR",64.8
"25","Termen VS",64.7
"26","Schmitten GR",64.5
"27","Berneck SG",64.1
"28","Niederwil AG",64.1
"29","Falera GR",64
"30","Arni AG",64
"31","Oberlunkhofen AG",64
"32","Horn TG",63.9
"33","Altendorf SZ",63.8
"34","Münchwilen AG",63.5
"35","Niedergesteln VS",63.5
"36","Lax VS",63.4
"37","Wallisellen ZH",63.3
"38","Biel-Benken BL",63.3
"39","Lalden VS",63.2
"40","Hausen AG",63
"41","Warth-Weiningen TG",62.9
"42","St. Moritz GR",62.7
"43","Zuzwil SG",62.6
"44","Widen AG",62.5
"45","Törbel VS",62.5
"46","Stallikon ZH",62.3
"47","Brusio GR",62.3
"48","Buchrain LU",62.2
"49","Herbetswil SO",62.2
"50","Jonen AG",62.2
